Mach, CD_Power_On
0.01, 0.350134796485521
0.02, 0.35578311486086
0.03, 0.347773583775406
0.04, 0.339432648032102
0.05, 0.335563245831183
0.06, 0.334289803931905
0.07, 0.332733649481536
0.08, 0.331103052797281
0.09, 0.32948894416839
0.10, 0.327931584975925
0.11, 0.326447729542274
0.12, 0.325042808729782
0.13, 0.323712991548935
0.14, 0.322463013369872
0.15, 0.321285149584663
0.16, 0.320175045391234
0.17, 0.31912824834135
0.18, 0.318140533566157
0.19, 0.317207937999409
0.20, 0.316326801100543
0.21, 0.31549377061696
0.22, 0.314705825646103
0.23, 0.313960171981748
0.24, 0.313254334524169
0.25, 0.312586057305051
0.26, 0.312089759512243
0.27, 0.311627153063525
0.28, 0.311196544407412
0.29, 0.310796506316797
0.30, 0.3104256361053
0.31, 0.310082728414789
0.32, 0.309766678304956
0.33, 0.309476543560749
0.34, 0.309211421126894
0.35, 0.308970529481874
0.36, 0.308753165297072
0.37, 0.30855868863835
0.38, 0.308386603786439
0.39, 0.308236418922187
0.40, 0.308107743648667
0.41, 0.308000231258113
0.42, 0.307913574660581
0.43, 0.307847609783163
0.44, 0.307802158773007
0.45, 0.30777710708884
0.46, 0.307772430262498
0.47, 0.307788100910824
0.48, 0.307824245229986
0.49, 0.307880952532285
0.50, 0.30795840337002
0.51, 0.308056831595536
0.52, 0.30817657167829
0.53, 0.308317979180136
0.54, 0.308481484371326
0.55, 0.308959809425571
0.56, 0.309464052582149
0.57, 0.309985756420437
0.58, 0.310525900060671
0.59, 0.310835382397844
0.60, 0.311165554018818
0.61, 0.311764551712582
0.62, 0.312378063419248
0.63, 0.313016433024247
0.64, 0.313681340893269
0.65, 0.314374626774752
0.66, 0.315098340418473
0.67, 0.315854711575531
0.68, 0.316646249998346
0.69, 0.317475735440643
0.70, 0.31834627827604
0.71, 0.318239987023662
0.72, 0.3180710220597
0.73, 0.31790212314302
0.74, 0.317733300033755
0.75, 0.317564532493289
0.76, 0.317395840284255
0.77, 0.317227203170525
0.78, 0.317058640917198
0.79, 0.316890153909189
0.80, 0.316721710676845
0.81, 0.3190458916075
0.82, 0.321370136471089
0.83, 0.323694435038737
0.84, 0.326018817082749
0.85, 0.328343242376604
0.86, 0.330667730694945
0.87, 0.332992301813572
0.88, 0.335316915509434
0.89, 0.337641622179218
0.90, 0.339966370364959
0.91, 0.342278141683441
0.92, 0.349213455638886
0.93, 0.356813216910343
0.94, 0.36160976852009
0.95, 0.366406320129836
0.96, 0.371202871739582
0.97, 0.375999423349329
0.98, 0.380795974959075
0.99, 0.385592526568822
1.00, 0.390389078178568
1.01, 0.395185629788314
1.02, 0.399982181398061
1.03, 0.404778733007807
1.04, 0.409575284617554
1.05, 0.4143718362273
1.06, 0.413104322045806
1.07, 0.411846948551526
1.08, 0.410599714397301
1.09, 0.409362591293701
1.10, 0.408135590929052
1.11, 0.406918698893272
1.12, 0.405711883605318
1.13, 0.404515143244015
1.14, 0.403328470682105
1.15, 0.40215182942333
1.16, 0.40043188026423
1.17, 0.398703966969198
1.18, 0.396988441166128
1.19, 0.395285265812722
1.20, 0.393497031354437
1.21, 0.391668660468174
1.22, 0.389852565846438
1.23, 0.388048443745126
1.24, 0.38625574780034
1.25, 0.384474450023543
1.26, 0.38274831507225
1.27, 0.381123607129729
1.28, 0.37956225536349
1.29, 0.378053840193916
1.30, 0.376593083648465
1.31, 0.37517666117004
1.32, 0.373802291238483
1.33, 0.372468359869005
1.34, 0.371173513082068
1.35, 0.369916795950005
1.36, 0.368697393676616
1.37, 0.367514641615291
1.38, 0.366367996587934
1.39, 0.365257009243263
1.40, 0.364181283629212
1.41, 0.36314050990537
1.42, 0.362134431663446
1.43, 0.36116278072794
1.44, 0.360225387097836
1.45, 0.359322059123818
1.46, 0.35845266363722
1.47, 0.357617085794451
1.48, 0.356815224016154
1.49, 0.356046984119105
1.50, 0.355312307319224
1.51, 0.354611117532413
1.52, 0.353943409415219
1.53, 0.353309113870794
1.54, 0.352708217202171
1.55, 0.352140714669704
1.56, 0.351606604918616
1.57, 0.351105857234615
1.58, 0.350638502668937
1.59, 0.350204556708436
1.60, 0.349804009768673
1.61, 0.349436929493457
1.62, 0.349103316853685
1.63, 0.348803197775398
1.64, 0.348536622315977
1.65, 0.348303624872037
1.66, 0.348104253903259
1.67, 0.347938559192957
1.68, 0.347806575378576
