0,1.263
0.01,0.606
0.02,0.545
0.03,0.515
0.04,0.497
0.05,0.486
0.06,0.478
0.07,0.471
0.08,0.466
0.09,0.461
0.1,0.457
0.11,0.454
0.12,0.454
0.13,0.454
0.14,0.455
0.15,0.455
0.16,0.456
0.17,0.457
0.18,0.458
0.19,0.458
0.2,0.459
0.21,0.46
0.22,0.461
0.23,0.462
0.24,0.463
0.25,0.464
0.26,0.465
0.27,0.466
0.28,0.467
0.29,0.468
0.3,0.469
0.31,0.47
0.32,0.472
0.33,0.473
0.34,0.475
0.35,0.476
0.36,0.477
0.37,0.479
0.38,0.481
0.39,0.482
0.4,0.484
0.41,0.486
0.42,0.488
0.43,0.49
0.44,0.492
0.45,0.493
0.46,0.496
0.47,0.498
0.48,0.5
0.49,0.502
0.5,0.505
0.51,0.507
0.52,0.509
0.53,0.512
0.54,0.515
0.55,0.517
0.56,0.52
0.57,0.523
0.58,0.526
0.59,0.528
0.6,0.531
0.61,0.535
0.62,0.538
0.63,0.541
0.64,0.544
0.65,0.547
0.66,0.551
0.67,0.555
0.68,0.558
0.69,0.562
0.7,0.565
0.71,0.569
0.72,0.573
0.73,0.577
0.74,0.581
