Mach, CD_Power_Off
0.01, 0.310575247347611
0.02, 0.354389691481516
0.03, 0.363490306519003
0.04, 0.365396823173957
0.05, 0.365061789100823
0.06, 0.363909191308546
0.07, 0.362455108049903
0.08, 0.360912469697211
0.09, 0.35937539833463
0.10, 0.357886401058663
0.11, 0.356463876822206
0.12, 0.355114480737644
0.13, 0.353839073736247
0.14, 0.352635617997372
0.15, 0.351500728990149
0.16, 0.350430511492506
0.17, 0.349420925631448
0.18, 0.348468029800668
0.19, 0.347568161202275
0.20, 0.346717852362027
0.21, 0.345913973343662
0.22, 0.345153638387268
0.23, 0.344434210598105
0.24, 0.343753350923839
0.25, 0.343108897946472
0.26, 0.342600342583341
0.27, 0.34212451644294
0.28, 0.341679798395755
0.29, 0.341264798110412
0.30, 0.340878222492577
0.31, 0.340518860942587
0.32, 0.34018571643996
0.33, 0.339877839206652
0.34, 0.339594377657532
0.35, 0.339334595754377
0.36, 0.339097823250526
0.37, 0.338883479024589
0.38, 0.338691064312136
0.39, 0.338520087489752
0.40, 0.338370216261301
0.41, 0.338241110363457
0.42, 0.338132511100057
0.43, 0.338044238547878
0.44, 0.337976164539634
0.45, 0.337928145779554
0.46, 0.337900205131967
0.47, 0.337892336756859
0.48, 0.337904645137437
0.49, 0.337937258434721
0.50, 0.337990375546987
0.51, 0.338064235277493
0.52, 0.33815915402906
0.53, 0.338275506421061
0.54, 0.338426715269542
0.55, 0.338880400683091
0.56, 0.339350614358108
0.57, 0.339838266040234
0.58, 0.340344355476469
0.59, 0.340869961519137
0.60, 0.341416235710016
0.61, 0.342168016873786
0.62, 0.342936543926286
0.63, 0.343729947488046
0.64, 0.344549887314055
0.65, 0.345398203160605
0.66, 0.346276963889235
0.67, 0.347188361050885
0.68, 0.348134923509649
0.69, 0.349119431026926
0.70, 0.350144973365368
0.71, 0.350193719392836
0.72, 0.350179770666542
0.73, 0.350165886056818
0.74, 0.350152075331249
0.75, 0.350138318258638
0.76, 0.350124634608991
0.77, 0.350111023257472
0.78, 0.350097465768547
0.79, 0.35008396101975
0.80, 0.350070518785827
0.81, 0.352549698842684
0.82, 0.355028960071349
0.83, 0.357508254042114
0.84, 0.359987629638295
0.85, 0.362467046640382
0.86, 0.364946524829993
0.87, 0.367426083989859
0.88, 0.36990570300779
0.89, 0.37238537346081
0.90, 0.374865104238928
0.91, 0.377414186947753
0.92, 0.385061435074227
0.93, 0.395100500805176
0.94, 0.403707760077364
0.95, 0.412315019349552
0.96, 0.420922278621739
0.97, 0.429529537893927
0.98, 0.438136797166115
0.99, 0.446744056438303
1.00, 0.455351315710491
1.01, 0.463958574982679
1.02, 0.472565834254866
1.03, 0.481173093527054
1.04, 0.489780352799242
1.05, 0.49838761207143
1.06, 0.49721767789659
1.07, 0.496059658206503
1.08, 0.494913510382337
1.09, 0.493779164017149
1.10, 0.492656587880676
1.11, 0.491545723888296
1.12, 0.490446496073899
1.13, 0.489358857566383
1.14, 0.488282755569527
1.15, 0.487218107345001
1.16, 0.485611526920116
1.17, 0.483998310808804
1.18, 0.482398762953074
1.19, 0.480666459394938
1.20, 0.478566615035338
1.21, 0.476484927871945
1.22, 0.474429165194096
1.23, 0.472413678001604
1.24, 0.470428878186022
1.25, 0.468471896290783
1.26, 0.466541320794724
1.27, 0.464636227902052
1.28, 0.462755947487552
1.29, 0.460899961520002
1.30, 0.459067871077401
1.31, 0.45725930812761
1.32, 0.455473972927382
1.33, 0.453711662219424
1.34, 0.451972066361888
1.35, 0.450255024361074
1.36, 0.448560336052862
1.37, 0.446887818342927
1.38, 0.445237307979354
1.39, 0.443608656114766
1.40, 0.4420017040324
1.41, 0.440416327910802
1.42, 0.43885241533119
1.43, 0.437309807211165
1.44, 0.435788413374233
1.45, 0.434288097230184
1.46, 0.432808759552337
1.47, 0.43135030131067
1.48, 0.42991262108366
1.49, 0.428495611254387
1.50, 0.42709918775064
1.51, 0.425723238818368
1.52, 0.424367714319119
1.53, 0.4230324923151
1.54, 0.421717499154206
1.55, 0.420422663836103
1.56, 0.419147913144891
1.57, 0.41789313952222
1.58, 0.416658292735257
1.59, 0.415443303025893
1.60, 0.414248072028049
1.61, 0.413072575444013
1.62, 0.411916719478887
1.63, 0.410780432768357
1.64, 0.409663665823185
1.65, 0.408566351477798
1.66, 0.40748843483048
1.67, 0.406429860698773
1.68, 0.405390557325706
1.69, 0.404370475336494
1.70, 0.403369573937452
1.71, 0.402387788644915
1.72, 0.401425071231868
1.73, 0.400481367948146
1.74, 0.399556637990083
1.75, 0.398650828707344
1.76, 0.397763909330954
1.77, 0.396895833438314
1.78, 0.396046522923151
1.79, 0.395215972966297
1.80, 0.394404147503238
1.81, 0.393676654956386
1.82, 0.392947062447948
1.83, 0.391800676034369
1.84, 0.390599577353321
1.85, 0.38940543615792
1.86, 0.388218141032927
1.87, 0.387037592198036
1.88, 0.385863672989615
1.89, 0.384696287335639
1.90, 0.383535344600219
1.91, 0.382380745345942
1.92, 0.381232391391637
1.93, 0.380090199715271
1.94, 0.378954077198487
1.95, 0.377823923867453
1.96, 0.376699669625041
1.97, 0.375581228116044
1.98, 0.374468516836554
1.99, 0.373361440883387
2.00, 0.372259960967711
2.01, 0.371253512402366
2.02, 0.370249113525259
2.03, 0.369251610104291
2.04, 0.368260926274912
2.05, 0.367276946667347
2.06, 0.366299598800573
2.07, 0.365328791262294
2.08, 0.364364447640967
2.09, 0.36340645875077
2.10, 0.3624547633138
2.11, 0.361509276753384
2.12, 0.360569907925681
2.13, 0.359636609178005
2.14, 0.358709282741783
2.15, 0.35778785104855
2.16, 0.356872270840608
2.17, 0.355962439899742
2.18, 0.355058305701276
2.19, 0.354159806898998
2.20, 0.353266857670511
2.21, 0.35237941740124
2.22, 0.351497391033954
2.23, 0.350620752223862
2.24, 0.349749417601723
2.25, 0.348883326178947
2.26, 0.348022421545532
2.27, 0.347166645363332
2.28, 0.346315946357523
2.29, 0.345470266244888
2.30, 0.344629547018847
2.31, 0.343793720324814
2.32, 0.34296275954177
2.33, 0.342136590017898
2.34, 0.341315175499627
2.35, 0.340498443505268
2.36, 0.339686358896469
2.37, 0.338878867276871
2.38, 0.338075920186503
2.39, 0.337277472408614
2.40, 0.336483461031353
2.41, 0.335693858677182
2.42, 0.334908602267965
2.43, 0.334127655762107
2.44, 0.333350966098008
2.45, 0.332578495608047
2.46, 0.331810184862004
2.47, 0.331046003446742
2.48, 0.330285893739318
2.49, 0.329529824323161
2.50, 0.328777749556868
2.51, 0.328029629478566
2.52, 0.32728541276219
2.53, 0.326545063953078
2.54, 0.325808526050812
2.55, 0.325075782524155
2.56, 0.324346781509512
2.57, 0.323621482339411
2.58, 0.322899838654766
2.59, 0.322181817423473
2.60, 0.321467370002921
2.61, 0.320756470492182
2.62, 0.320049066961082
2.63, 0.319345124981426
2.64, 0.318644611079004
2.65, 0.317947472477655
2.66, 0.317253691584883
2.67, 0.316563215519656
2.68, 0.315876006759754
