Mach, CD_Power_On
0.01, 0.298281209890466
0.02, 0.342095654024372
0.03, 0.351196269061859
0.04, 0.353102785716813
0.05, 0.352767751643678
0.06, 0.351615153851401
0.07, 0.350161070592758
0.08, 0.348618432240067
0.09, 0.347081360877486
0.10, 0.345592363601519
0.11, 0.344169839365062
0.12, 0.3428204432805
0.13, 0.341545036279103
0.14, 0.340341580540227
0.15, 0.339206691533004
0.16, 0.338136474035362
0.17, 0.337126888174304
0.18, 0.336173992343524
0.19, 0.335274123745131
0.20, 0.334423814904882
0.21, 0.333619935886517
0.22, 0.332859600930124
0.23, 0.332140173140961
0.24, 0.331459313466695
0.25, 0.330814860489328
0.26, 0.330306305126197
0.27, 0.329830478985796
0.28, 0.329385760938611
0.29, 0.328970760653268
0.30, 0.328584185035432
0.31, 0.328224823485442
0.32, 0.327891678982815
0.33, 0.327583801749508
0.34, 0.327300340200388
0.35, 0.327040558297233
0.36, 0.326803785793382
0.37, 0.326589441567445
0.38, 0.326397026854992
0.39, 0.326226050032608
0.40, 0.326076178804156
0.41, 0.325947072906313
0.42, 0.325838473642913
0.43, 0.325750201090734
0.44, 0.32568212708249
0.45, 0.325634108322409
0.46, 0.325606167674823
0.47, 0.325598299299715
0.48, 0.325610607680292
0.49, 0.325643220977577
0.50, 0.325696338089843
0.51, 0.325770197820348
0.52, 0.325865116571916
0.53, 0.325981468963916
0.54, 0.326132677812397
0.55, 0.326586363225947
0.56, 0.327056576900964
0.57, 0.327544228583089
0.58, 0.328050318019325
0.59, 0.328325763216754
0.60, 0.328621876562394
0.61, 0.329123496880926
0.62, 0.329641863088188
0.63, 0.330185105804709
0.64, 0.330754884785479
0.65, 0.33135303978679
0.66, 0.331981639670182
0.67, 0.332642875986594
0.68, 0.333339277600119
0.69, 0.334073624272157
0.70, 0.33484900576536
0.71, 0.33464759094759
0.72, 0.334383481376058
0.73, 0.334119435921094
0.74, 0.333855464350288
0.75, 0.333591546432438
0.76, 0.333327701937552
0.77, 0.333063929740794
0.78, 0.332800211406631
0.79, 0.332536545812596
0.80, 0.332272942733434
0.81, 0.334501961945052
0.82, 0.336731062328478
0.83, 0.338960195454005
0.84, 0.341189410204947
0.85, 0.343418666361796
0.86, 0.345647983706168
0.87, 0.347877382020796
0.88, 0.350106840193488
0.89, 0.35233634980127
0.90, 0.354565919734149
0.91, 0.356976967988341
0.92, 0.364210112750918
0.93, 0.373370326170855
0.94, 0.380841035866864
0.95, 0.388311745562873
0.96, 0.395782455258882
0.97, 0.403253164954891
0.98, 0.4107238746509
0.99, 0.418194584346909
1.00, 0.425665294042918
1.01, 0.433136003738927
1.02, 0.440606713434937
1.03, 0.448077423130946
1.04, 0.455548132826955
1.05, 0.463018842522964
1.06, 0.461998744271569
1.07, 0.460990560504927
1.08, 0.459994248604205
1.09, 0.459009738162462
1.10, 0.458036997949433
1.11, 0.457075969880497
1.12, 0.456126577989544
1.13, 0.455188775405473
1.14, 0.454262509332061
1.15, 0.453347697030979
1.16, 0.451890952529539
1.17, 0.450427572341672
1.18, 0.448977860409386
1.19, 0.447395392774694
1.20, 0.445347990973803
1.21, 0.44326630381041
1.22, 0.441210541132561
1.23, 0.43919505394007
1.24, 0.437210254124488
1.25, 0.435253272229249
1.26, 0.43332269673319
1.27, 0.431417603840518
1.28, 0.429537323426018
1.29, 0.427681337458468
1.30, 0.425849247015866
1.31, 0.424040684066075
1.32, 0.422255348865848
1.33, 0.42049303815789
1.34, 0.418753442300353
1.35, 0.417036400299539
1.36, 0.415341711991328
1.37, 0.413669194281392
1.38, 0.412018683917819
1.39, 0.410390032053231
1.40, 0.408783079970865
1.41, 0.407197703849268
