0.01,0.457
0.02,0.417
0.03,0.46
0.04,0.479
0.05,0.488
0.06,0.492
0.07,0.495
0.08,0.496
0.09,0.496
0.1,0.496
0.11,0.496
0.12,0.495
0.13,0.495
0.14,0.494
0.15,0.493
0.16,0.493
0.17,0.492
0.18,0.491
0.19,0.49
0.2,0.489
0.21,0.489
0.22,0.488
0.23,0.487
0.24,0.486
0.25,0.486
0.26,0.485
0.27,0.485
0.28,0.485
0.29,0.484
0.3,0.484
0.31,0.484
0.32,0.483
0.33,0.483
0.34,0.483
0.35,0.483
0.36,0.482
0.37,0.482
0.38,0.482
0.39,0.482
0.4,0.482
0.41,0.482
0.42,0.481
0.43,0.481
0.44,0.481
0.45,0.481
0.46,0.481
0.47,0.481
0.48,0.481
0.49,0.481
0.5,0.481
0.51,0.481
0.52,0.481
0.53,0.481
0.54,0.481
0.55,0.481
0.56,0.482
0.57,0.482
0.58,0.482
0.59,0.482
0.6,0.482
0.61,0.483
0.62,0.484
0.63,0.484
0.64,0.485
0.65,0.486
0.66,0.487
0.67,0.487
0.68,0.488
0.69,0.489
0.7,0.49
0.71,0.49
0.72,0.49
0.73,0.491
0.74,0.491
0.75,0.491
