0.02,0.5451834684
0.02,0.5584614243
0.03,0.5689733832
0.03,0.5822658400
0.04,0.5883297191
0.01,0.5890942274
0.02,0.5982657760
0.05,0.5983249660
0.04,0.6016339745
0.01,0.6023989489
0.06,0.6039218818
0.07,0.6071873760
0.25,0.6075105497
0.26,0.6076223157
0.24,0.6077414974
0.27,0.6077604776
0.28,0.6079260759
0.23,0.6079965352
0.29,0.6081198952
0.22,0.6082738452
0.30,0.6083424910
0.21,0.6085710725
0.31,0.6085945646
0.32,0.6088764632
0.20,0.6088853587
0.08,0.6091122902
0.33,0.6091888643
0.19,0.6092127109
0.34,0.6095320810
0.18,0.6095481531
0.17,0.6098847816
0.35,0.6099067061
0.16,0.6102132826
0.09,0.6102216103
0.36,0.6103131380
0.15,0.6105210892
0.37,0.6107519686
0.14,0.6107908426
0.10,0.6108148754
0.13,0.6109983487
0.11,0.6110726716
0.12,0.6111089462
0.38,0.6112237161
0.05,0.6116353140
0.39,0.6117290420
0.40,0.6122684237
0.41,0.6128427365
0.42,0.6134526332
0.43,0.6140989176
0.44,0.6147825497
0.45,0.6155045361
0.46,0.6162658464
0.47,0.6170676548
0.06,0.6172356414
0.48,0.6179112089
0.49,0.6187978434
0.50,0.6197291170
0.07,0.6205031260
0.51,0.6207533044
0.25,0.6208264967
0.26,0.6209383308
0.24,0.6210575852
0.27,0.6210765770
0.28,0.6212422761
0.23,0.6213127784
0.29,0.6214362136
0.22,0.6215902574
0.30,0.6216589451
0.21,0.6218876659
0.31,0.6219111724
0.52,0.6220952870
0.03,0.6221137832
0.32,0.6221932428
0.20,0.6222021437
0.08,0.6224292135
0.33,0.6225058343
0.19,0.6225296955
0.34,0.6228492602
0.18,0.6228653421
0.17,0.6232021758
0.35,0.6232241137
0.53,0.6234811594
0.16,0.6235308770
0.09,0.6235392098
0.36,0.6236307933
0.15,0.6238388712
0.37,0.6240698914
0.14,0.6241087891
0.10,0.6241328365
0.13,0.6243164217
0.11,0.6243907899
0.12,0.6244270865
0.38,0.6245419264
0.54,0.6249131366
0.39,0.6250475604
0.40,0.6255872709
0.41,0.6261619337
0.55,0.6263938202
0.42,0.6267722021
0.43,0.6274188805
0.56,0.6279256253
0.44,0.6281029293
0.45,0.6288253558
0.57,0.6295115026
0.46,0.6295871301
0.47,0.6303894273
0.58,0.6311545349
0.48,0.6312334956
0.49,0.6321206704
0.59,0.6328579053
0.50,0.6330525118
0.51,0.6340773234
0.60,0.6346253643
0.52,0.6354201241
0.53,0.6368068412
0.61,0.6370348804
0.54,0.6382396912
0.62,0.6394960751
0.55,0.6397212774
0.56,0.6412540162
0.04,0.6415173853
0.63,0.6420343073
0.01,0.6422837605
0.57,0.6428408601
0.58,0.6444848940
0.64,0.6446549105
0.59,0.6461893026
0.65,0.6473635339
0.60,0.6479578390
0.66,0.6501664452
0.61,0.6503688238
0.05,0.6515370397
0.62,0.6528315187
0.67,0.6530708271
0.63,0.6553712980
0.68,0.6560841117
0.06,0.6571476226
0.64,0.6579934987
0.69,0.6592151837
0.07,0.6604210907
0.65,0.6607037731
0.25,0.6607450536
0.26,0.6608570925
0.24,0.6609765652
0.27,0.6609955918
0.28,0.6611615944
0.23,0.6612322258
0.29,0.6613558871
0.22,0.6615102130
0.30,0.6615790264
0.21,0.6618081661
0.31,0.6618317156
0.32,0.6621143025
0.20,0.6621232198
0.08,0.6623507054
0.33,0.6624274665
0.19,0.6624513713
0.70,0.6624736091
0.71,0.6626973706
0.72,0.6627263021
0.73,0.6627552526
0.34,0.6627715212
0.74,0.6627843067
0.18,0.6627876326
0.75,0.6628133965
0.76,0.6628426047
0.77,0.6628717992
0.78,0.6629010628
0.79,0.6629303276
0.80,0.6629596443
0.17,0.6631250832
0.35,0.6631470612
0.16,0.6634543863
0.09,0.6634627343
0.66,0.6635083928
0.36,0.6635544855
0.15,0.6637629445
0.37,0.6639943877
0.14,0.6640333566
0.10,0.6640574481
0.13,0.6642413695
0.11,0.6643158738
0.12,0.6643522370
0.38,0.6644672872
0.39,0.6649738470
0.40,0.6655145459
0.41,0.6660902610
0.67,0.6664145451
25.00,0.6665301937
24.99,0.6665360661
24.98,0.6665418425
24.97,0.6665476237
24.96,0.6665535088
24.95,0.6665592989
24.94,0.6665650929
24.93,0.6665708924
24.92,0.6665767953
24.91,0.6665826041
24.90,0.6665884158
24.89,0.6665943325
24.88,0.6666001541
24.87,0.6666059797
24.86,0.6666119103
24.85,0.6666177453
24.84,0.6666236849
24.83,0.6666295294
24.82,0.6666353779
24.81,0.6666413314
24.80,0.6666471889
24.79,0.6666530513
24.78,0.6666590184
24.77,0.6666648899
24.76,0.6666708664
24.75,0.6666767470
24.74,0.6666826316
24.73,0.6666886222
24.72,0.6666945165
24.71,0.6667005161
0.42,0.6667016470
24.70,0.6667064199
24.69,0.6667124277
24.68,0.6667183406
24.67,0.6667243585
24.66,0.6667302812
24.65,0.6667363083
24.64,0.6667422395
24.63,0.6667482757
24.62,0.6667542171
24.61,0.6667602632
24.60,0.6667663138
24.59,0.6667722685
24.58,0.6667783283
24.57,0.6667842929
24.56,0.6667903619
24.55,0.6667963361
24.54,0.6668024145
24.53,0.6668084980
24.52,0.6668144862
24.51,0.6668205790
24.50,0.6668265770
24.49,0.6668326792
24.48,0.6668387861
24.47,0.6668447986
24.46,0.6668509153
24.45,0.6668570368
24.44,0.6668630629
24.43,0.6668691942
24.42,0.6668753297
24.41,0.6668813710
24.40,0.6668875159
24.39,0.6668936661
24.38,0.6668998221
24.37,0.6669058818
24.36,0.6669120466
24.35,0.6669182157
24.34,0.6669243907
24.33,0.6669304704
24.32,0.6669366543
24.31,0.6669428442
24.30,0.6669489386
24.29,0.6669551374
24.28,0.6669613410
24.27,0.6669675494
24.26,0.6669737631
24.25,0.6669799826
24.24,0.6669861059
24.23,0.6669923335
24.22,0.6669985680
24.21,0.6670048063
24.20,0.6670110489
24.19,0.6670171975
24.18,0.6670235508
24.17,0.6670297090
24.16,0.6670359721
24.15,0.6670422405
24.14,0.6670485138
24.13,0.6670547920
24.12,0.6670610746
24.11,0.6670673631
24.10,0.6670736554
24.09,0.6670799548
24.08,0.6670862569
24.07,0.6670925655
24.06,0.6670988791
24.05,0.6671051975
24.04,0.6671115210
24.03,0.6671178493
24.02,0.6671241837
24.01,0.6671305219
24.00,0.6671368656
23.99,0.6671432143
23.98,0.6671495680
23.97,0.6671559277
23.96,0.6671622913
23.95,0.6671686610
23.94,0.6671750356
23.93,0.6671814153
23.92,0.6671878999
23.91,0.6671941890
23.90,0.6672006843
23.89,0.6672070845
23.88,0.6672134908
23.87,0.6672199000
23.86,0.6672263165
23.85,0.6672327368
23.84,0.6672392634
23.83,0.6672456949
23.82,0.6672521315
23.81,0.6672585732
23.80,0.6672650201
23.79,0.6672715719
23.78,0.6672780300
23.77,0.6672844920
23.76,0.6672909613
23.75,0.6672975342
23.74,0.6673040131
23.73,0.6673104973
23.72,0.6673169855
23.71,0.6673235809
23.70,0.6673300795
23.69,0.6673365852
23.68,0.6673431950
0.43,0.6673495097
23.67,0.6673497112
23.66,0.6673562330
23.65,0.6673627588
23.64,0.6673693909
23.63,0.6673759273
23.62,0.6673825698
23.61,0.6673891175
23.60,0.6673956705
23.59,0.6674023303
23.58,0.6674088931
23.57,0.6674154634
23.56,0.6674221377
23.55,0.6674287184
23.54,0.6674354039
23.53,0.6674419945
23.52,0.6674486915
23.51,0.6674552927
23.50,0.6674619004
23.49,0.6674686138
23.48,0.6674753313
23.47,0.6674819553
23.46,0.6674886852
23.45,0.6674953192
23.44,0.6675020597
23.43,0.6675087059
23.42,0.6675154574
23.41,0.6675221145
23.40,0.6675288764
23.39,0.6675355445
23.38,0.6675423181
23.37,0.6675489975
23.36,0.6675557813
23.35,0.6675625715
23.34,0.6675693677
23.33,0.6675760691
23.32,0.6675828761
23.31,0.6675895889
23.30,0.6675964068
23.29,0.6676032299
23.28,0.6676099596
23.27,0.6676167953
23.26,0.6676236353
23.25,0.6676304818
23.24,0.6676372343
23.23,0.6676440919
23.22,0.6676509547
23.21,0.6676577242
23.20,0.6676645988
23.19,0.6676714793
23.18,0.6676783651
23.17,0.6676851577
23.16,0.6676920552
23.15,0.6676989588
23.14,0.6677058675
23.13,0.6677127825
23.12,0.6677197032
23.11,0.6677265291
23.10,0.6677334620
23.09,0.6677403999
23.08,0.6677473423
23.07,0.6677542924
23.06,0.6677612477
23.05,0.6677681091
23.04,0.6677750766
23.03,0.6677820485
23.02,0.6677890272
23.01,0.6677960121
23.00,0.6678030021
22.99,0.6678099983
22.98,0.6678170007
22.97,0.6678240092
22.96,0.6678310222
22.95,0.6678380420
22.94,0.6678450671
22.93,0.6678520993
22.92,0.6678591368
22.91,0.6678661805
22.90,0.6678732304
22.89,0.6678802849
22.88,0.6678873462
22.87,0.6678944129
22.86,0.6679014868
22.85,0.6679085659
22.84,0.6679157513
22.83,0.6679228429
22.82,0.6679299399
22.81,0.6679370432
22.80,0.6679441527
22.79,0.6679512675
22.78,0.6679583897
22.77,0.6679656166
22.76,0.6679727493
22.75,0.6679798895
22.74,0.6679870350
22.73,0.6679941869
22.72,0.6680013451
22.71,0.6680086087
22.70,0.6680157787
22.69,0.6680229551
22.68,0.6680301378
0.44,0.6680348111
22.67,0.6680374260
22.66,0.6680446206
22.65,0.6680518216
22.64,0.6680591290
22.63,0.6680663418
22.62,0.6680735611
22.61,0.6680808869
22.60,0.6680881180
22.59,0.6680953567
22.58,0.6681027009
22.57,0.6681099515
22.56,0.6681173076
22.55,0.6681245712
22.54,0.6681318403
22.53,0.6681392150
22.52,0.6681464971
22.51,0.6681538855
22.50,0.6681611798
22.49,0.6681684806
22.48,0.6681758879
22.47,0.6681832008
22.46,0.6681906213
22.45,0.6681979463
22.44,0.6682053790
22.43,0.6682128172
22.42,0.6682201631
22.41,0.6682275146
22.40,0.6682349717
22.39,0.6682424371
22.38,0.6682498075
22.37,0.6682572845
22.36,0.6682646682
22.35,0.6682721585
22.34,0.6682796545
22.33,0.6682870572
22.32,0.6682945674
22.31,0.6683019834
22.30,0.6683095053
22.29,0.6683170338
22.28,0.6683244691
22.27,0.6683320110
22.26,0.6683395604
22.25,0.6683471149
